word,synonym,antonym
ای,"['ایا', 'هان', 'های', 'هلا']","['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']"
دل,"[' فواد', 'قلب  خاطر', 'ضمیر  شکم  درون', 'مرکز', 'میان', 'وسط  جرات', 'زهره', 'شهامت', 'فواد', 'ضمیر', 'طویت', 'بال']","['برات شدن', 'بیرحم', 'تیرهدل']"
جان,"[' روان', 'روح  حیات  نفس  هوش  عزیز', 'گرامی  جن ', 'حیات']","[' تن', 'بدن', 'انس', 'پری', 'پریان', 'روح', 'تن', 'تسلیم کردن', 'روان', 'مردن']"
سر,"[' تارک', 'راس', 'فرق', 'کله', 'مخ ', ' راز', 'رمز', 'مصاص', 'امرپوشیده', 'کار نهانی  اخفا', 'مکتوم', 'نهانی', ' شیب', 'لیز', 'لغزنده', 'لغزان  موزه  سرخ', 'سرخرنگ ']","[' پا', 'ته  چکاد', 'قله', 'نوک ', ' آبیرنگ']"
گر,"[' جرب  اگر', 'کچل', 'کل', 'جرب', 'اگر', 'ار']",['سودایی']
چشم,"[' دیده', 'عین ۲. دید', 'رویت', 'نظر', 'نگاه ۳. امید', 'انتظار', 'توقع ۴. عزیز', 'گرامی ۵. چشمزخم ۶. حدقه', 'دیده']",nothing
اندر,"['تو', 'داخل', 'در', 'درون']",['درون']
چو,"[' چون  اگر', 'گر  وقتی', 'هنگامی  شبیه', 'مانند', 'مثل', 'شایعه', 'خبر نادرست']",['چون']
باد,"[' هوا ۲. آماس', 'آماه', 'نفخ', 'ورم ۳. پف', 'فوت', 'تیز', 'ریح ۴. توفان', 'شمیم', 'صرصر', 'نسیم', 'نفخه ۵. بادا', 'باشد ۶. افاده', 'خودبینی', 'تکبر', 'خودبزرگ بینی', 'غرور', 'فیس', 'نخوت ۷. ابهت', 'اهمیت', 'شکوه ۸. دم', 'نفس ۹. بارح', 'برآمدگی', 'دمل ۱۰. باطل', 'بیهوده', 'لغو', 'نفخه', 'گوز', 'انتفاخ', 'نسیم', 'دمل']",nothing
دست,"[' ید  ارتباط', 'تبانی', 'رابطه  تسلط', 'قدرت']","['رجل', 'تمسخر کردن', 'باز یافتن']"
حق,"[' آفریدگار', 'الله', 'باریتعالی', 'پروردگار', 'خدا  حقیقت', 'راستی', 'صدق', 'واقع  درست', 'راست', 'روا', 'واقعی  انصاف', 'عدل', 'قسط', 'منصفت', 'داد  عادلانه  سزا', 'نصیب ']","[' خطا', 'ناحق  بهره', 'مزد  ملک', 'مال', 'حقوق  سزاوار', 'بایسته  سزاواری', 'شایس', 'خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی']"
آب,"[' ماء  مایع  شیره', 'عرق', 'عصاره', 'عصیر  حل', 'محلول  ذوب  خوی  بزاق', 'آبدهان  منی  بحر', 'دریا', 'یم  زهاب', ' آبرو', 'حیثیت', 'شرف', 'عزت  تری', 'تازگی', 'طراوت', 'ماء', 'لنف']",['ابن']
حافظ,"[' پاسدار', 'حارس', 'حامی', 'محافظ', 'مدافع', 'مهیمن', 'نگاهبان', 'نگهبان ۲. حفظکننده', 'حفیظ', 'مهیمن', 'مدافع', 'پاسدار', 'حارس', 'محافظ', 'پناه', 'نگهبان']",nothing
خوش,"[' خوب', 'نیکو', 'نیک ', 'خوشدل خوشدل', 'مرفه']","[' بد  خشنود', 'خوشحال', 'خوشدل', 'شاد', 'شادمان', 'مبتهج', 'مسرور ', 'بیسرانجام', 'خوشهیکل']"
هست,"['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز', 'خاطی']",nothing
جهان,"[' آفاق', 'دنیا', 'عالم', 'کرهارض', 'گیتی  روزگار', 'زمانه', 'خرابآباد', 'گیتی', 'دنیا', 'عالم', 'سراچه']","['آفاق', 'خاکدان خاکدان']"
کی,"['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز', 'خاطی']",nothing
کار,"[' پیشه', 'حرفه', 'شغل', 'کسب', 'مشغله  نقش', 'وظیفه  منصب  عمل', 'فعل', 'کردار  امر', 'ماجرا  ساخت', 'صناعت  تقدیر', 'سرنوشت', 'مرگ  اتفاق', 'پیشامد', 'حادثه', 'ماوقع  مساله', 'موضوع  اثر', 'هنر جنگ', 'کارزار  کشتوکار  کاسبی', 'صناعت', 'حرفه']",['بیگار']
عشق,"['تعشق', 'خلت', 'دوستی', 'شیفتگی', 'علاقه', 'محبت', 'مودت', 'مهر', 'وداد ', 'شیفتگی', 'مشتاقی', 'وداد', 'خاطرخواهی', 'حب', 'دلبستگی', 'مودت', 'دوستی']","[' نفرت', 'خلت', 'نفرت']"
دوست,"['آشنا', 'حبیب', 'خلیل', 'دمساز', 'دوستدار', 'رفیق', 'صحابه', 'صدوق', 'صدیق', 'محب', 'محبوب', 'محبوبه', 'مصاحب', 'معاشر', 'معشوق', 'ولی', 'همراه', 'همنشین', 'یار ', 'صدوق', 'دوستدار', 'خلیل', 'صدیق', 'جانان']","[' دشمن', 'عدو', 'محبت کردن', 'متخاصم', 'برادر', 'خصم']"
خاک,"[' اقلیم', 'خطه', 'زمین', 'ارض', 'سرزمین', 'قلمرو  تراب', 'تربت', 'ثری', 'طین', 'غبرا', 'گل ', 'غبرا', 'غبار', 'طین', 'ثری', 'تراب', 'خطه']","[' آب', 'ماء  غبار', 'گرد  کشور', 'بلد', 'دیار', 'مملکت  خاکجا', 'قبر', 'گور', 'مزار', 'مشهد', 'مقبره  بر', 'خشکی  خاکه', 'پودر', 'نرمه  پست', 'حقیر', 'بیارزش']"
ست,"[' دست ۲. سری ۳. گیم', 'دور بازی']",nothing
دم,"[' آن', 'ثانیه', 'حین', 'زمان', 'گاه', 'لحظه', 'لمحه', 'وقت', 'وقت', 'هنگام  باد', 'هوا  بخار', 'حرارت', 'دما', 'گرمی  پف', 'ریح', 'نفخه  دمش', 'نفس  اجاق', 'کوره  شهیق  آه  خون  دنبال', 'کنار ', 'شهیق', 'فرودم', 'ثانیه', 'حین', 'لمحه', 'دنبال', 'ریح', 'لحظه', 'اجاق']",[' بازدم']
گل,"[' تراب', 'خاشاک', 'خاک', 'طین', 'غبرا  جدا', 'زمین  لای', 'لجن', 'وحل', ' زهر', 'ورد  داغ ', 'غبرا', 'وحل', 'ورد', 'گلو', 'لای']","[' خار', 'طین', 'تراب']"
یار,"[' جانانه', 'جانان', 'دلبر', 'دلداده', 'دلدار', 'محبوبه', 'محبوب', 'معشوق', 'نگار', 'ول  حبیب', 'خلیل', 'دوست', 'رفیق', 'صدیق', 'محب  صحابه', 'مصاحب', 'معاشر', 'همدم', 'همراه', 'همصحبت', 'همنشین  پشتیبان', 'حامی', 'دستگیر', 'دستیار', 'دوستدار', 'طرفدار', 'کمک', 'مددکار', 'معاضد', 'معاون', 'معین', 'ناصر', 'ن …', 'نصیر', 'معین', 'پشتوار', 'همنفس', 'دوستدار', 'جانان', 'دستیار', 'عضد']","['خلیل', 'صدیق', 'طرفدار طرفدار']"
مر,"[' بار', 'دفعه', 'کرت', 'مرتبه  حساب', 'شماره', 'شمار  مرور کردن', ' تلخ ']","[' شیرین', 'حلو  نص  سخت', 'شدید', 'حلو', 'تلخ']"
خون,"[' دم  خوناب', 'خونابه']","['چرک', 'دم']"
خدا,"[' آفریدگار', 'الله', 'اهورامزدا', 'ایزد', 'پروردگار', 'خالق', 'خداوند', 'دادار', 'رب', 'کردگار', 'یزدان ', 'کردگار', 'اهورامزدا', 'ایزد', 'الله']","[' بنده', 'عبد', 'مخلوق  سلطان', 'پادشاه', 'امیر', 'خدیو  مالک', 'صاحب  استاد', 'مزدا', 'خداحافظ', 'سببساز', 'معبود']"
روز,"[' نهار', 'یوم  دوره', 'زمان', 'گاه', 'وقت ', 'خورشید']","[' شب', 'لیل', 'شب', 'صباح', 'سلخ', 'میلاد', 'نهار']"
نور,"[' پرتو', 'تابش', 'تلاءلو', 'روشنایی', 'سو', 'ضیاء', 'فروغ  شعاع ', 'فروزش', 'شعاع', 'تف', 'فروغ']","[' تاریکی', 'ظلمت', 'روشنایی', 'ضیا', 'ظلمت', 'ماهتاب ماهتاب', 'بارقه']"
آید,"['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']",nothing
آتش,"[' آذر', 'اخگر', 'شرار', 'شرر', 'شعله', 'نار  جهنم', 'دوزخ', 'هاویه ', 'سقر', 'اخگر', 'دوزخ', 'جحیم']","[' آب  بهشت', 'سعیر', 'حرور']"
غم,"['اندوه', 'تاسف', 'تیمار', 'حزن', 'حسرت', 'داغ', 'رنج', 'غصه', 'کرب', 'محنت', 'هم ', 'بوتیمار', 'راخ', 'غصه', 'کرب', 'اندوهگینی', 'حزن']","[' شادی', 'بیتالاحزان', 'سرور', 'طرب', 'فرح', 'بهجت']"
ور,"[' جانب', 'سو', 'طرف  بر', 'ضلع  ساحل', 'کنار', 'حرف', 'سخن', 'صحبت', 'گپ', 'جانب', 'طرف']",['منسوخ گشتن']
کس,"[' خویشاوند', 'خویش', 'قوم  آدم', 'بابا', 'تن', 'شخص', 'فرد', ' انیس', 'مونس  همدم', 'یار']","['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']"
شب,"[' شام', 'شامگاه', 'لیل  زاج ', 'عشا', 'شامگاه', 'شام', 'لیل']","[' روز', 'بیتوته کردن', 'مسا', 'روز']"
بد,"[' ردی', 'سوء', 'شر ', 'مستهجن']","[' حسن  شوم', 'مشئوم', 'منحوس', 'میشوم', 'نحس ', 'مرغوا', 'نیکا', 'جید', 'نکو', 'منهیات', 'طعن کردن']"
دید,"[' آگاهی', 'بینش  رویت', 'نظر', 'نگرش  باصره', 'بینایی  دیدار', 'مشاهده', 'ملاحظه', 'نظاره', 'نگاه  لحاظ', 'منظر', 'رویت', 'نظاره', 'باصره', 'بصر', 'نگاه']",['بینایی']
نی,"[' شهنا  قلم  کبر  خیر', 'نه', 'خیزران', 'شهنا', 'کلک']","['نه', 'نچ', 'کبر', 'خیر']"
زین,"['بند', 'سرج', 'فتراک', 'فتراک']",nothing
بهر,"[' بخش', 'بهره', 'حصه', 'حظ', 'سهم', 'قسمت', 'نصیب  برای', 'بهجهت', 'بهخاطر', 'بهمنظور  پاره', 'جزء', 'نصیبه', 'حصه', 'نصیب', 'قسمت', 'بهره']",['خارج قسمت']
گشت,"[' تفرج', 'تفریح', 'تماشا', 'سیاحت', 'سیر', 'گردش', 'گشتن', 'هواخوری  پاسبانی  تبدیل', 'تغییر  تفحص', 'جستجو', 'پرسه', 'پیکنیک', 'هواخوری', 'تفرج', 'تور', 'گردش', 'تفریح']",['سیر']
بس,"[' اکتفا', 'بسندگی', ' بسنده', 'کافی', 'مکفی  فقط  بسا', 'بسیار', 'زیاد', 'فراوان', 'کثیر', 'متعدد ', 'بسندگی', 'اکتفا', 'مکفی', 'کافی', 'کثیر']","[' اندک', 'پشیز', 'قلیل', 'کم', 'ناچیز', 'خیلی']"
خر,"[' الاغ', 'حمار', 'درازگوش ۲. احمق', 'نادان', 'کودن ۳. بزرگ', 'درشت', 'زمخت(پیشوندواره)', ' حلقوم', 'گلو', 'خرخره ۲. گردن ۳. یخه', 'یقه', 'عنق', 'گردن', 'حمار', 'الاغ', 'چارپا', 'چاروا', 'کودن']",nothing
جمله,"[' تمام', 'کاملا', 'کل', 'همه', 'یکباره', 'یکسر', 'یکسره  عبارت  زمره', 'عداد', 'کاملا', 'زمره', 'عبارت', 'کلا', 'همه']","['فراز', 'تمام', 'تالی']"
سخن,"[' بیان', 'عرض', 'قول', 'کلام', 'گفتار', 'گفتگو', 'مقال', 'نطق', 'گفت', 'حرف  ادبیات', 'شعر', 'ور', 'گپ', 'گفت', 'مقال']",['بودار']
مرد,"[' شخص', 'انسان', 'بشر  زوج', 'شوهر', 'همسر  فحل', 'نر', 'نرینه  جوانمرد', 'غیور  رجل', 'مرء ', 'مذکر', 'غیور', 'نر', 'خایهدار', 'شوهر', 'زوج']","[' انثی', 'زن  اهل', 'شایسته', 'لایق ', 'حلیله', 'رجل', 'نسا']"
لیک,"['اما', 'لاکن', 'لیکن', 'منتها', 'ولی', 'اما', 'لیکن', 'معهذا']",nothing
چیست,"['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز', 'خاطی']",nothing
دیده,"['چشم', 'عین', 'نظر', 'نگاه']","['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']"
خیال,"[' توهم', 'گمان', 'وهم ۲. پندار', 'پنداشت', 'تخیل ۳. اندیشه', 'تصور', 'تفکر', 'فکر ۴. مخیله ۵. نقشه ۶. سودا', 'وسواس ۷. تصویر', 'تندیس', 'شبح ۸. قصد', 'آهنگ', 'عزم', 'تصمیم', 'انگاشت', 'پنداشت', 'تخیل']",nothing
عقل,"[' خرد', 'دها', 'ذکاوت', 'فهم', 'معرفت', 'هوش  کله', 'مخ', 'ذکاوت', 'لب', 'خرد']","['خردباختگی', 'جنون', 'بیذکاوت', 'حلم', 'سابقسابق']"
درد,"['الم', 'بیماری', 'تالم', 'داء', 'رنج', '', 'سوز', 'سوزش', 'عارضه', 'کسالت', 'مرض', 'ناخوشی', 'وجع', 'بقایا', 'تفاله', 'تهنشست', 'ثفل', 'راسب', 'رسوب', 'تهنشست', 'تهنشین', 'ثفل', 'راسب', 'پسمانده', 'سوزش', 'کسالت', 'داء']","['صراح', 'مروق']"
اهل,"[' سزا', 'صلاحیتدار', 'مطلع', 'وارد  رام', 'سزاوار', 'صالح  اهالی', 'بومی', 'تبعه', 'ساکن ', 'شهروند', 'اهالی', 'صلاحیتدار']","[' نااهل', 'تسنن', 'مسلم', 'نااهل', 'متصوفه']"
برد,"[' برودت', 'سرما', 'سوز ', ' سود', 'نفع  تیررس  پیروزی', 'ظفر ', 'زمهریر']","[' حر  پرنیان  حجر', 'سنگ ', ' باخت  پارچه کتانی', 'باخت', 'حر', 'سرما', 'بردن']"
بوی,"['آرزو', 'امل']",nothing
بند,"[' حبل', 'رسن', 'رشته', 'ریسمان', 'طناب', 'نخ ۲. ترک', 'زین ۳. بست', 'عقد', 'قید', 'گره', 'گیر ۴. پیوند', 'لولا', 'مفصلگاه', 'مفصل ۵. استخوان انگشت ۶. اتصالگاه', 'پیوندگاه', 'گرهگاه ۷. تله', 'دام ۸. رهن', 'گرو ۹. گرفتاری', 'مخمصه ۱۰. آز', 'طمع ۱۱. یک زوجگاو ۱۲. حیله', 'روبان', 'زنجیر', 'زین', 'مفصل', 'آببند', 'نخ', 'قفل']",nothing
دگر,"['دیگر', 'سایر']",['سایر']
خلق,"['اخلاق', 'اوقات', 'خاصه', 'خصلت', 'خو', 'داب', 'سجیه', 'شیمه', 'طبع', 'طبیعت', 'طینت', 'عادت', 'عریکه', 'مزاج', 'مشرب', 'منش', ' آفریدن', 'آفریده', 'آفرینش', 'ابداع', 'احداث', 'انشاد', 'ایجاد', 'تناسل', 'تولید', 'خلقت', 'کون', 'مخلوق  توده', 'عامه', 'عوام  امت', 'قوم', 'مردم', 'ملت  مخلوق  غیرسید ', 'پوسیده', 'ژنده', 'فرسوده', 'کهنه', 'مندرس ', 'آفریدن', 'بریه', 'آفریده', 'امت', 'عوام', 'شیمه']","[' سید  آدمی', 'انسان  آدمیان', 'انسانها  هیکل', 'شمایل  عالم مادی  شهروند', 'ت', ' نو']"
دین,"['آیین', 'شرع', 'شریعت', 'کیش', 'کیش', 'مذهب', 'نحله', 'بدهی', 'قرض', 'قرضه', 'وام ', 'قرضه', 'بدهی', 'شریعت', 'نحله', 'شرع', 'قرض', 'مذهب', 'ملت', 'وام']","[' طلب', 'بیایمانی']"
عالم,"['آفاق', 'آفرینش', 'جهان', 'دنیا', 'فلک', 'کیهان', 'گردون', 'گیتی', 'خردمند', 'دانا', 'دانشمند', 'دانشور', 'علیم', 'فاضل', 'فرزانه', 'فرهیخته', 'محقق', 'ملا ', 'حبر', 'فیلسوف', 'فقیه', 'گیتی', 'فرجاد', 'دانشور', 'علامه', 'فلک', 'محقق', 'بر']","[' جاهل', 'بیعلم']"
زبان,"[' لسان  کلام', 'لهجه  اصطلاح', 'کلام', 'اصطلاح']","['طعنه زدن', 'تفوه']"
شکر,"['امتنان', 'تشکر', 'حقشناسی', 'حمد', 'سپاس', 'شکرانه', 'منت', 'قند', 'امتنان', 'منت', 'حقشناسی', 'حمد', 'سپاس']","['تشکر', 'ثنا']"
صورت,"[' چهره', 'رخ', 'رخسار', 'روی', 'ریخت', 'سیما', 'قیافه', 'وجه', 'هیئت  فرم', 'لفظ  سیاهه', 'لیست  پرتره', 'تصویر', 'تمثال', 'شکل', 'نقش ']","[' معنی', 'خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی']"
گوش,"[' اذن  زاویه', 'گوشه']","['سامعه', 'باصره', 'سمع', 'تکلم', 'حرف زدن']"
آخر,"['اختتام', 'انتها', 'پایان', 'پسین', 'ته', 'خاتمه', 'سرانجام', 'عاقبت', 'فرجام', 'منتها', 'نهایت', 'واپسین ', 'بازپسین', 'منتهاالیه', 'خاتمه', 'ختام', 'سرانجام', 'اختتام', 'نهایت', 'واپسین', 'عاقبت']","[' ابتدا', 'مبتدا']"
لب,"[' چکیده', 'خلاصه', 'گزیده  مغز  خرد', 'عقل', ' شفه', 'لوچه  دهانه  کناره', 'لبه  حاشیه', 'ساحل', 'کنار  تپانچه', 'سیلی', 'کشیده', 'لوچه', 'نخبه', 'عصاره', 'لبه', 'خرد', 'چکیده']","['تفوه', 'جور']"
زلف,"['بشک', 'جعد', 'شعر', 'طره', 'کاکل', 'گلاله', 'گیسو', 'گیس', 'مو', 'شعر', 'جعد', 'گیس', 'گیسو', 'مو', 'کلاله', 'طره']",nothing
کجا,"['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز', 'خاطی']",nothing
تن,"[' بدن', 'پیکر', 'تنه', 'جثه', 'جسم', 'کالبد', 'هیکل ', 'سه خروار', 'هزارکیلو', 'جثه', 'جسد', 'نفر', 'جسم', 'شخص']","[' جان  شخص', 'کس', 'نفر  نفس ', 'تنی', 'چرک کردن']"
مست,"[' اندوه', 'حزن', 'غم  شکایت', 'شکوائیه', 'گلایه', 'گله', ' سرخوش', 'نشئه', 'نشئهناک', 'میزده', 'شرابزده', 'ملنگ', 'کیفور  خمار', 'خمارین', 'خمارآلود', 'خمارآلوده', 'مخمور  خراب', 'طافح  مدهوش', 'لایعقل  بیخود', 'بیخویشتن', 'از خودبیخود', 'مجذوب  بیخبر', 'غافل', 'غفلتزده  هیجانزده  مغرور', 'متکبر', 'میزده', 'طافح', 'کیفور']","['دبنگ', 'لایعقل']"
نفس,"[' آن', 'لحظه', 'لمحه  آه', 'نسمت', 'نسمه  تنفس', 'دم', ' خود', 'خویش', 'ذات  تن', 'جسد', 'کالبد  وجود  نفسانیات', 'دموبازدم', 'خود', 'نسیم', 'لحظه']","['خودکشی کردن', 'تنفس کردن']"
شیر,"[' ارسلان', 'اسد', 'حیدر', 'ضرغام', 'ضیغم', 'هژبر ۲. لبن', 'لبن', 'ضیغم', 'غضنفر', 'هژبر', 'حیدر', 'هرماس', 'ضرغام', 'ناهد', 'اسد']",nothing
یاد,"[' ذکر', 'یادآوری', 'یادکرد  حافظه  آموزش', 'تعلیم  خاطره  اندیشه', 'خاطر', 'فکر  یادبود', '', 'یادکرد', 'حافظه', 'یادآوری']","[' فراموشی', 'تعلیم گرفتن', 'فراموشی', 'نسیان']"
نام,"[' آوازه', 'اعتبار', 'شهرت  اسم', 'عنوان', 'کنیه', 'لقب  کلمه ']","[' ننگ', 'خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی']"
آفتاب,"['خور', 'خورشید', 'شمس', 'مهر', 'هور ', 'خور', 'خورشید', 'هور']","[' ماهتاب', 'مهتاب', 'مهشید', 'ماهتاب ماهتاب', 'مهر', 'برآمدن']"
نقش,"[' پرتره', 'پیکره', 'ترسیم', 'تصویر', 'تمثال', 'شکل', 'شمایل', 'صورت', 'طرح', 'عکس', 'نگار', 'نگاره  اثر', 'رد', 'نشان  رل', 'کار', 'وظیفه', 'جایپا', 'پرتره', 'رل', 'تصویر', 'مسئولیت', 'رنگ']",['خال']
پای,['ذیل'],nothing
کین,"['بغض', 'حقد', 'دشمنی', 'عداوت', 'عناد', 'غرض', 'کینه', 'حقد', 'عداوت', 'غرض', 'کینه', 'عناد']","['بغض', 'تیرگی', 'مهر']"
نباشد,['مبادا'],nothing
مگر,"[' بهجز', 'بهاستثنا', 'بهغیر', 'جز', 'غیر', 'فقط', 'الا  شاید', 'فقط  همانا  از قضا']","['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']"
زمان,"[' دوران', 'روزگار', 'زمانه  دوره', 'عصر', 'عهد', 'فصل', 'موسم', 'نوبت', 'هنگام  فرصت', 'مجال', 'وقت  مدت', 'موعد', 'ساعت', 'دوران', 'روز', 'موسم', 'زمانه', 'روزگار']",['طول']
حس,"[' ادراک', 'دریافت', 'درک  احساس', 'عاطفه  حساسیت']",['حسی']
شاه,"['امپراطور', 'امیر', 'پادشاه', 'حاکم', 'خدیو', 'سلطان', 'شاهنشاه', 'شهریار', 'ملک', 'والی ', 'کسرا', 'خسرو', 'شهریار', 'امپراتور', 'پادشاه', 'ملک', 'امیر']","[' رعیت', 'تاجدار تاجدار', 'تاجور']"
رخ,"[' چهره', 'رخسار', 'رخساره', 'رو', 'سیما', 'صورت', 'عارض', 'عذار', 'قیافه', 'وجه  برج', 'قلعه  پهلوان', 'جنگجو', 'گرد  سیمرغ', 'عنقا', 'رخنه', 'شکاف', 'رخسار', 'رخساره', 'عذار', 'بشره', 'چهر', 'درحقیقت واقعخد', 'روی', 'سیما', 'عارض', 'قیافه']",['منت گذاشتن']
وقت,"[' فرصت', 'مجال', 'مهلت  زمان', 'گاه', 'موقع', 'میقات', 'هنگام  دوره', 'روزگار', 'عصر', 'فصل', 'موسم  آن', 'حین', 'دم', 'ساعت', 'لحظه', 'لمحه  مدت', 'موعد', 'سررسید', 'حین', 'لمحه', 'فرصت', 'لحظه', 'موعد']","['روز', 'مجال دادن']"
باده,"['ساغر', 'شراب', 'صهبا', 'مسکر', 'مشروب', 'مل', 'می', 'نبیذ', 'سلاف', 'نبید', 'نبیذ', 'صبوحی', 'صهبا', 'می', 'خمر', 'چراگه', 'ساتگین', 'شراب', 'چراگاه']",nothing
صوفی,"['پشمینهپوش', 'درویش', 'سالک', 'عارف', 'متصوف', 'پشمینهپوش', 'قلندر', 'خرقهپوش', 'سالک', 'درویش']",nothing
عمر,"[' حیات', 'روزگار', 'زندگی', 'زندگانی  زاد', 'سن', 'زندگانی', 'روزگار']",['حیات']
راست,"[' حق', 'درست', 'صائب', 'صحیح', 'صدق', 'صواب  سهی', 'شق  مستقیم  مستوی  یمین  امین', 'صدیق ', 'صریحاللهجه', 'قویم', 'صائب', 'صدیق', 'شافی']","[' غلط', 'نادرست  ناراست  کج  ناصاف  یسار  نادرست ', 'پرپیچ', 'نامستقیم', 'مورب', 'اریب', 'خمناک', 'سهی']"
صبر,"[' آرام', 'قرار  بردباری', 'تاب', 'تحمل', 'حلم', 'شکیبایی', 'شکیب  انتظار  عطسه ', 'شکیبایی', 'حلم', 'بردباری', 'هال', 'طاقت']","[' بیشکیبی', 'بیقراری', 'مصابرت', 'شکیب', 'ناشکیبایی', 'تاب آوردن', 'حوصله']"
ده,"['آبادی', 'دهات', 'دیه', 'رستاق', 'روستا', 'قریه', 'قصبه']","['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']"
حاجت,"[' احتیاج', 'ارب', 'دربایست', 'درخواست', 'ضرورت', 'غایت', 'نهمت', 'نیاز', 'نیازمندی ۲. آرزو', 'امید', 'مراد', 'مقصود', 'وایه', 'درخواست', 'اقتضا', 'مقصود', 'نهمت', 'نیازمندی', 'ضرورت']",nothing
نشان,"[' آرم', 'امارت', 'رمز', 'علامت', 'مدال', 'نشانه', 'نشانی  آیه', 'اثر', 'رد', 'رگه  انگ', 'تمغا', 'داغ', 'نقش  آماج', 'تیر', 'هدف  سراغ']","['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']"
خواب,"[' احلام', 'چرت', 'خفتن', 'رویا', 'قیلوله', 'نوم', 'هجوع ', 'حلم', 'رویا', 'نوم', 'احلام']",[' بیداری  پرز  غفلت ']
لطف,"['التفات', 'بخشش', 'بذل', 'تفضل', 'شفقت', 'ظرافت', 'عنایت', 'کرم', 'لطافت', 'محبت', 'مرحمت', 'ملایمت', 'مهر', 'مهربانی', 'نرمی', 'نیکی ', 'تفضل', 'تلطف', 'رفق', 'ملاطفت', 'منت', 'فیض', 'التفات', 'عنایت']","[' عتاب', 'عنف', 'قهر', 'عنف']"
روح,"[' جان', 'روان  امر', 'وحی  فرشته', 'ملک  صفا ', 'روان']","[' جسد', 'جسم', 'کالبد', 'بدن', 'تن', 'جان']"
زر,"[' ذهب', 'طلا', 'عسجد  پول', 'دینار  تمول', 'ثروت  پیر', 'سالمند', 'فرتوت', 'کهنسال  زرد', 'زردفام ', 'ذهب', 'عسجد', 'پیسه', 'طلی', 'طلا', 'اسد']","[' فضه', 'نقره  برنا', 'جوان', 'فضه', 'سیم']"
مرغ,"[' پرنده', 'طایر', 'طیر ۲. ماکیان', ' چراگاه', 'مرغزار', 'مرتع ۲. سبزهزار', 'علفزار', 'گیاهزار ۳. چمن', 'علف ۴. آبدهن', 'طیر', 'پرنده', 'مرغزار', 'چراگاه']",nothing
شیخ,"[' مراد', 'مرشد  آخوند', 'معمم', 'ملا  پیر', 'سالخورده', 'کهنسال', 'مسن  امیر', 'پیشوا', 'قاید ', 'دستاری', 'قاید', 'مرشد', 'معمم', 'آخوند', 'سالخورده سالخورده', 'کهنسال', 'مسن', 'امام', 'امیر']","[' شاب', 'ملا', 'برنا']"
چمن,"['جوله', 'سبزه', 'سبزهزار', 'فریز', 'قلیب', 'مرغزار']","['سبزه', 'سبزهزار']"
صبا,"['بادبرین', 'بادمشرق', 'نسیم', 'نسیم']",nothing
عاشق,"[' دلباخته', 'دلداده', 'سودازده', 'شیدا', 'شیفته', 'عشیق', 'مفتون  نوازنده ', 'خاطرخواه', 'دوستدار', 'مفتون', 'وامق', 'دلشده', 'پاسوز']","[' معشوق', 'مفتون کردن', 'مشتاق شدن', 'مشتاق کردن', 'مفتون شدن']"
سرو,"['سروبن', 'درخت سرو', 'سرویس', 'سرویس']",nothing
شمع,"[' چراغ', 'شماره', 'شماله', 'قندیل', 'موم ۲. جرقهزا', 'موم', 'پالار']",nothing
رنگ,"[' صبغه', 'فام', 'گون', 'لون  حیله', 'مکر  طرح', 'نقش', 'نقشه', 'خضاب', 'گون', 'لون']",['تایر']
بانگ,"[' جار', 'صدا', 'صلا', 'ندا ۲. صوت', 'آوار', 'آواز ۳. صیحه', 'غریو', 'غلغله', 'غوغا', 'فریاد', 'نعره', 'نعره', 'صدا', 'صلا', 'صیحه', 'ندا', 'صفیر', 'صوت', 'غریو', 'غلغله', 'آوا']",nothing
دهان,"['دهن', 'فم', 'کپ', 'فم', 'ثغر']",['تفوه']
