word,synonym,antonym
شریف,"['ارجمند', 'اصیل', 'باشرف', '', 'بانجابت', 'بزرگوار', 'سرافراز', 'شرافتمند', 'عالیقدر', 'عفیف', 'کریم', 'مجید', 'محترم', 'نبیل', 'نجیب ', 'خانوادهدار', 'مشرفه', 'باشرافت', 'نبیل', 'مجید', 'بزرگزاده', 'شرافتمند', 'کریم', 'بااصل', 'بااصلونسب', 'باشرف', 'بانجابت']","[' وضیع', 'دونصفت']"
پردۀ,['ستر'],nothing
شام,"[' شامگاه', 'شب', 'عشا', 'فلق', 'لیل  غذایشب ', 'عشا', 'غروب', 'شامگاه']","[' بامداد', 'شب', 'شفق', 'صبح', 'لیل', 'چاشت', 'بامداد']"
دلیل,"[' بلد', 'راهبر', 'راهنما  انگیزه', 'جهت', 'سبب', 'علت  برهان', 'بینه', 'حجت', 'چرایی', 'استدلال', 'برهان', 'بینه', 'چونوچرا', 'راهبر', 'انگیزه', 'بلد', 'گواه', 'جهت', 'راهنما']",['چرا']
دختر,"[' بنت', 'دخت', 'صبیه  باکره', 'دوشیزه', 'عذرا  سلیله ', 'دخت', 'سلیله', 'صبیه', 'بنت', 'عذرا', 'باکره', 'بکر']","[' پسر', 'ولد', 'پسر']"
غنچه,"['شکوفه', 'غنجه', 'نوگل']",['بهار کردن']
رندی,"['زرنگی', 'زیرکی', 'عیاری', 'لاقیدی', 'مردرندی', 'تیزبازی', 'عیاری']","['زرنگی', 'سادگی']"
می‌و,"['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی']",nothing
آیینه,"[' آبگینه', 'آبگین', 'آینه', 'مرآت ۲. آیین', 'روال', 'روش', 'طریق', 'منوال', 'مرآت', 'آینه', 'آبگینه']",nothing
رها,"[' آزاد', 'خلاص', 'فارغ', 'مرخص', 'مستخلص', 'وارسته  بیبند  پراکنده', 'پرت', 'ترک', 'متروک', 'واگذار', 'ول', 'ولو  یله', 'افسارگسیخته', 'واگذار', 'گسستهعنان']","['تعاقب', 'تقید']"
بوستان,"[' بستان  پارک  باغ', 'حدیقه', 'روضه', 'گلستان ', 'گلستان', 'حدیقه', 'محجر', 'باغ', 'روضه']","[' کویر', 'بستان']"
سیل,"[' سیلاب', 'لور  جریانشدید آب', 'سیلاب']",['طوفان']
کشتن,"[' قتل  ذبح', 'نحر', 'ترور کردن', 'خون ریختن', 'خون کردن', 'ذبح', 'کاشتن', 'قتل', 'تذکیه', 'حراثت', 'سربهنیست کردن']","['خودکشی کردن', 'خلاص کردن']"
محراب,"[' قبله', 'جایگاه امامدر مسجد ۲. عبادتگاه', 'جایگاه کشیش ۳. مقصوره', 'شاهنشین ۴. صدر اطاق', 'پیشگاهمجلس']",nothing
صفت,"[' نعت', 'وصف  چونی', 'چگونگی', 'کیفیت  خصلت', 'خو  سجیه', 'مختصه', 'ویژگی  عاطفه', 'غیرت  رفتار', 'کردار  لقب ', 'لقب', 'نعت', 'خصلت', 'خاصیت', 'سجیه', 'غیرت', 'رفتار']","[' موصوف', 'ملکه', 'کردار', 'خاصه']"
دل‌ها,"['برات شدن', 'بیرحم', 'تیرهدل']",nothing
وای,"['آخ', 'آوخ', 'آه', 'افسوس', 'دردا', 'فریادا', 'ایدریغ']","['نیکا', 'خنکا']"
چندین,"[' اینهمه', 'ایناندازه  مقدار زیاد  تعداد زیاد (بیشتراز']","['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']"
کنج,"[' بیغوله', 'زاویه', 'کنار', 'گوشه', 'گوه', 'نبش  چین', 'شکن', 'کنجل  قوز', 'قوزدار', 'گوژپشت', 'گوه', 'کش', 'نبش']",['بیغوله']
